콘존ID,콘존길이,기점종점방향구분코드,시작노드ID,종료노드ID,차로수,노선번호,제한속도,노선구성순번,콘존명,버스전용차로유무,도로등급구분코드
0010CZE005,200.00,E,0491,0004,3,0010,100.00,1,경부고속국도시점-구서IC,0,101
0010CZE010,1820.00,E,0004,0446,3,0010,100.00,2,구서IC-영락IC,0,101
0010CZE011,1990.00,E,0446,0486,3,0010,100.00,3,영락IC-부산TG,0,101
0010CZE020,1070.00,E,0486,0447,3,0010,100.00,4,부산TG-노포,0,101
0010CZE030,7780.00,E,0447,0669,3,0010,100.00,5,노포IC-노포JC,0,101
0010CZE035,7280.00,E,0669,0155,2,0010,100.00,6,노포JC-양산JC,0,101
0010CZE040,5080.00,E,0155,0453,4,0010,100.00,7,양산JC-양산IC,0,101
0010CZE050,14110.00,E,0453,0652,3,0010,100.00,8,양산IC-통도사Hi,0,101
0010CZE055,1050.00,E,0652,0160,3,0010,100.00,9,통도사Hi-서울산IC,0,101
0010CZE060,1010.00,E,0160,1027,3,0010,100.00,10,통도사IC-서울주JC,0,101
0010CZE065,5420.00,E,1027,0203,3,0010,100.00,11,서울주JC-서울산IC,0,101
0010CZE070,1630.00,E,0203,0204,3,0010,100.00,12,서울산IC-언양JC,0,101
0010CZE080,17090.00,E,0204,0635,3,0010,100.00,13,언양JC-활천IC,0,101
0010CZE085,11060.00,E,0635,0008,2,0010,100.00,14,활천IC-경주IC,0,101
0010CZE090,10400.00,E,0008,0009,3,0010,100.00,15,경주IC-건천IC,0,101
0010CZE100,12180.00,E,0009,1012,3,0010,100.00,16,건천IC-영천JC,0,101
0010CZE105,5550.00,E,1012,0116,2,0010,100.00,17,영천JC-영천IC,0,101
0010CZE110,16450.00,E,0116,0115,3,0010,100.00,18,영천IC-경산IC,0,101
0010CZE120,9260.00,E,0115,0010,4,0010,100.00,19,경산IC-동대구JC,0,101
0010CZE130,4090.00,E,0010,0018,4,0010,100.00,20,동대구JC-도동JC,0,101
0010CZE140,7680.00,E,0018,0012,4,0010,100.00,21,도동JC-북대구IC,0,101
0010CZE150,5480.00,E,0012,0013,4,0010,100.00,22,북대구IC-금호JC,0,101
0010CZE160,10740.00,E,0013,0464,4,0010,100.00,23,금호JC-칠곡물류IC,0,101
0010CZE170,3180.00,E,0464,0117,4,0010,100.00,24,칠곡물류IC-왜관IC,0,101
0010CZE180,13980.00,E,0117,0120,4,0010,100.00,25,왜관IC-남구미IC,0,101
0010CZE190,5070.00,E,0120,0122,4,0010,100.00,26,남구미IC-구미IC,0,101
0010CZE200,10860.00,E,0122,0080,4,0010,100.00,27,구미IC-김천JC,0,101
0010CZE210,9120.00,E,0080,0563,3,0010,100.00,28,김천JC-동김천IC,0,101
0010CZE215,7970.00,E,0563,0123,3,0010,100.00,29,동김천IC-김천IC,0,101
0010CZE220,12030.00,E,0123,0082,3,0010,100.00,30,김천IC-추풍령IC,0,101
0010CZE230,10080.00,E,0082,0096,3,0010,100.00,31,추풍령IC-황간IC,0,101
0010CZE240,9890.00,E,0096,0095,3,0010,100.00,32,황간IC-영동IC,0,101
0010CZE250,16040.00,E,0095,0463,3,0010,100.00,33,영동IC-금강IC,0,101
0010CZE260,11400.00,E,0463,0021,3,0010,100.00,34,금강IC-옥천IC,0,101
0010CZE270,8670.00,E,0021,0108,3,0010,100.00,35,옥천IC-비룡JC,0,101
0010CZE280,4060.00,E,0108,0100,3,0010,100.00,36,비룡JC-대전IC,0,101
0010CZE290,5450.00,E,0100,0102,3,0010,100.00,37,대전IC-회덕JC,0,101
0010CZE300,5090.00,E,0102,0104,4,0010,100.00,38,회덕JC-신탄진IC,0,101
0010CZE310,10070.00,E,0104,0068,4,0010,100.00,39,신탄진IC-남청주IC,1,101
0010CZE320,3550.00,E,0068,0362,4,0010,100.00,40,남청주IC-청주JC,1,101
0010CZE330,3890.00,E,0362,0067,3,0010,100.00,41,청주JC-남이JC,1,101
0010CZE340,4620.00,E,0067,0066,3,0010,100.00,42,남이JC-청주IC,1,101
0010CZE350,3490.00,E,0066,0649,3,0010,100.00,43,청주IC-옥산IC,1,101
0010CZE355,7500.00,E,0649,0673,3,0010,100.00,44,옥산IC-옥산JC,1,101
0010CZE357,13810.00,E,0673,0049,3,0010,100.00,45,옥산JC-목천IC,1,101
0010CZE360,3530.00,E,0049,0050,3,0010,100.00,46,목천IC-천안JC,1,101
0010CZE370,6700.00,E,0050,0052,4,0010,100.00,47,천안JC-천안IC,1,101
0010CZE380,8360.00,E,0052,0562,4,0010,110.00,48,천안IC-북천안IC,1,101
0010CZE385,11610.00,E,0562,0247,4,0010,110.00,49,북천안IC-안성IC,1,101
