지점,일시,기온(°C),누적강수량(mm),풍향(deg),풍속(m/s),현지기압(hPa),해면기압(hPa),습도(%),일사(MJ/m^2),일조(Sec)
95,2022-01-01 00:01,-13.5,0,251.4,.3,1013.7,1034.6,68.4,0,0
95,2022-01-01 00:02,-13.7,0,250.3,.2,1013.7,1034.6,68.6,0,0
95,2022-01-01 00:03,-13.7,0,256.1,.4,1013.7,1034.6,68.4,0,0
95,2022-01-01 00:04,-13.8,0,239.4,.2,1013.7,1034.6,68.6,0,0
95,2022-01-01 00:05,-13.8,0,194.5,.2,1013.7,1034.6,69.2,0,0
95,2022-01-01 00:06,-13.8,0,200.7,.5,1013.7,1034.6,69.2,0,0
95,2022-01-01 00:07,-13.7,0,217.7,.5,1013.7,1034.6,69.1,0,0
95,2022-01-01 00:08,-13.6,0,219.7,.4,1013.7,1034.6,69.1,0,0
95,2022-01-01 00:09,-13.6,0,196.4,0,1013.7,1034.6,69.1,0,0
95,2022-01-01 00:10,-13.7,0,18.7,.1,1013.7,1034.6,68.8,0,0
95,2022-01-01 00:11,-13.8,0,350.9,.5,1013.7,1034.6,68.8,0,0
95,2022-01-01 00:12,-13.9,0,3.3,.4,1013.7,1034.6,69.7,0,0
95,2022-01-01 00:13,-14,0,12.7,.1,1013.7,1034.6,70.3,0,0
95,2022-01-01 00:14,-14,0,0,0,1013.7,1034.6,70.5,0,0
95,2022-01-01 00:15,-14,0,0,0,1013.7,1034.6,70.3,0,0
95,2022-01-01 00:16,-14,0,0,0,1013.8,1034.7,70.3,0,0
95,2022-01-01 00:17,-14,0,285.3,0,1013.8,1034.7,70.9,0,0
95,2022-01-01 00:18,-13.9,0,288.8,.3,1013.8,1034.7,71.1,0,0
95,2022-01-01 00:19,-13.9,0,278.6,.2,1013.8,1034.7,71.1,0,0
95,2022-01-01 00:20,-13.8,0,227.5,0,1013.8,1034.7,70.7,0,0
95,2022-01-01 00:21,-13.8,0,0,0,1013.8,1034.7,70.7,0,0
95,2022-01-01 00:22,-13.8,0,0,0,1013.8,1034.7,70.8,0,0
95,2022-01-01 00:23,-13.8,0,.3,.2,1013.8,1034.7,70.8,0,0
95,2022-01-01 00:24,-14,0,13.3,1,1013.7,1034.6,70.5,0,0
95,2022-01-01 00:25,-14.1,0,17.1,1.1,1013.8,1034.7,70.5,0,0
95,2022-01-01 00:26,-14.2,0,16.8,1,1013.8,1034.7,70.8,0,0
95,2022-01-01 00:27,-14.2,0,26,1.1,1013.8,1034.7,71.3,0,0
95,2022-01-01 00:28,-14.2,0,42.2,1.2,1013.8,1034.7,72,0,0
95,2022-01-01 00:29,-14.2,0,74.4,.6,1013.8,1034.7,72.3,0,0
95,2022-01-01 00:30,-14.1,0,96.2,.5,1013.8,1034.7,72.8,0,0
95,2022-01-01 00:31,-14,0,85.4,.2,1013.7,1034.6,73.1,0,0
95,2022-01-01 00:32,-14,0,44,0,1013.7,1034.6,73.1,0,0
95,2022-01-01 00:33,-14.1,0,19.8,.1,1013.7,1034.6,72.9,0,0
95,2022-01-01 00:34,-14.2,0,38.6,.2,1013.7,1034.6,73.1,0,0
95,2022-01-01 00:35,-14.2,0,44.7,.4,1013.8,1034.7,73.3,0,0
95,2022-01-01 00:36,-14.2,0,35.7,.6,1013.8,1034.7,73.5,0,0
95,2022-01-01 00:37,-14.2,0,33.5,.7,1013.8,1034.7,73.3,0,0
95,2022-01-01 00:38,-14.2,0,38.1,.6,1013.8,1034.7,73.1,0,0
95,2022-01-01 00:39,-14.2,0,25.7,.5,1013.8,1034.7,73,0,0
95,2022-01-01 00:40,-14.3,0,24.9,.6,1013.8,1034.7,73.1,0,0
95,2022-01-01 00:41,-14.3,0,43.2,.5,1013.8,1034.7,73.5,0,0
95,2022-01-01 00:42,-14.3,0,63.1,.3,1013.8,1034.7,74,0,0
95,2022-01-01 00:43,-14.3,0,89.6,.3,1013.8,1034.7,74.4,0,0
95,2022-01-01 00:44,-14.3,0,80.4,.3,1013.8,1034.7,74.4,0,0
95,2022-01-01 00:45,-14.3,0,62.6,.1,1013.8,1034.7,74,0,0
95,2022-01-01 00:46,-14.3,0,0,0,1013.8,1034.7,73.8,0,0
95,2022-01-01 00:47,-14.3,0,341.1,.3,1013.8,1034.7,74,0,0
95,2022-01-01 00:48,-14.3,0,355.9,.9,1013.8,1034.7,74.5,0,0
95,2022-01-01 00:49,-14.4,0,359.1,1,1013.8,1034.8,74.6,0,0
95,2022-01-01 00:50,-14.5,0,15.8,.9,1013.8,1034.8,75.1,0,0
95,2022-01-01 00:51,-14.6,0,29.8,.9,1013.8,1034.8,75.7,0,0
95,2022-01-01 00:52,-14.6,0,31.4,.8,1013.9,1034.9,76,0,0
95,2022-01-01 00:53,-14.5,0,27.1,.5,1013.9,1034.9,75.7,0,0
95,2022-01-01 00:54,-14.5,0,26.6,.7,1013.9,1034.9,75.3,0,0
95,2022-01-01 00:55,-14.5,0,39.6,.3,1013.9,1034.9,75,0,0
95,2022-01-01 00:56,-14.5,0,19.2,0,1013.9,1034.9,74.8,0,0
95,2022-01-01 00:57,-14.6,0,19.5,.6,1014,1035,74.9,0,0
95,2022-01-01 00:58,-14.6,0,9.7,.7,1014,1035,75.2,0,0
95,2022-01-01 00:59,-14.6,0,6.4,.7,1014,1035,75.5,0,0
95,2022-01-01 01:00,-14.6,0,11.4,.7,1014,1035,75.6,0,0
95,2022-01-01 01:01,-14.6,0,24.1,.7,1014,1035,75.3,0,0
95,2022-01-01 01:02,-14.6,0,35.4,.4,1014,1035,75.3,0,0
95,2022-01-01 01:03,-14.6,0,39.9,.4,1014,1035,75.4,0,0
95,2022-01-01 01:04,-14.6,0,22.5,.5,1014.1,1035.1,75.8,0,0
95,2022-01-01 01:05,-14.5,0,24.3,.6,1014.1,1035.1,76,0,0
95,2022-01-01 01:06,-14.6,0,27.7,.6,1014.1,1035.1,75.8,0,0
95,2022-01-01 01:07,-14.6,0,25.1,.5,1014.1,1035.1,76,0,0
95,2022-01-01 01:08,-14.7,0,38.4,.5,1014,1035,76.4,0,0
95,2022-01-01 01:09,-14.7,0,44.7,.7,1014,1035,76.8,0,0
95,2022-01-01 01:10,-14.7,0,42.1,.9,1014,1035,77,0,0
95,2022-01-01 01:11,-14.6,0,42.2,.5,1014,1035,76.7,0,0
95,2022-01-01 01:12,-14.6,0,68.8,.8,1014.1,1035.1,76.1,0,0
95,2022-01-01 01:13,-14.6,0,94.2,.8,1014.1,1035.1,76,0,0
95,2022-01-01 01:14,-14.5,0,82.4,1,1014.1,1035.1,75.7,0,0
95,2022-01-01 01:15,-14.4,0,82.4,.9,1014.1,1035.1,74.9,0,0
95,2022-01-01 01:16,-14.4,0,82,.7,1014.1,1035.1,74.2,0,0
95,2022-01-01 01:17,-14.4,0,67.1,.7,1014.1,1035.1,73.6,0,0
95,2022-01-01 01:18,-14.4,0,58.6,1,1014.1,1035.1,73.4,0,0
95,2022-01-01 01:19,-14.5,0,62.9,1.3,1014.1,1035.1,73.3,0,0
95,2022-01-01 01:20,-14.5,0,57.9,1.2,1014.1,1035.1,73.4,0,0
95,2022-01-01 01:21,-14.5,0,66.7,.9,1014.1,1035.1,73.5,0,0
95,2022-01-01 01:22,-14.6,0,51.6,.9,1014.1,1035.1,73.7,0,0
95,2022-01-01 01:23,-14.6,0,45.2,.9,1014.1,1035.1,73.8,0,0
95,2022-01-01 01:24,-14.6,0,39,.9,1014.1,1035.1,74.1,0,0
95,2022-01-01 01:25,-14.6,0,28,.8,1014.1,1035.1,74.5,0,0
95,2022-01-01 01:26,-14.6,0,29.5,1,1014.1,1035.1,74.7,0,0
95,2022-01-01 01:27,-14.7,0,35.5,.9,1014.1,1035.1,74.8,0,0
95,2022-01-01 01:28,-14.7,0,25,.7,1014.1,1035.1,75,0,0
95,2022-01-01 01:29,-14.7,0,21.6,.8,1014.1,1035.1,75.2,0,0
95,2022-01-01 01:30,-14.7,0,33.9,.9,1014.1,1035.1,75.3,0,0
95,2022-01-01 01:31,-14.7,0,19.3,.8,1014.1,1035.1,75.4,0,0
95,2022-01-01 01:32,-14.8,0,16.1,.6,1014.1,1035.1,75.6,0,0
95,2022-01-01 01:33,-14.9,0,39.3,.9,1014.1,1035.1,75.8,0,0
95,2022-01-01 01:34,-15,0,50.1,.8,1014,1035,76,0,0
95,2022-01-01 01:35,-15,0,48.2,.9,1014,1035,76.4,0,0
95,2022-01-01 01:36,-14.9,0,39.5,.7,1014.1,1035.1,76.8,0,0
95,2022-01-01 01:37,-14.9,0,32.8,.5,1014.1,1035.1,76.8,0,0
95,2022-01-01 01:38,-15,0,24.8,.5,1014.1,1035.1,76.9,0,0
95,2022-01-01 01:39,-15,0,10.7,.6,1014.1,1035.1,77.2,0,0
95,2022-01-01 01:40,-15.1,0,21.5,.9,1014.1,1035.1,77.2,0,0
95,2022-01-01 01:41,-15.1,0,7.3,.9,1014,1035,77.6,0,0
95,2022-01-01 01:42,-15.1,0,11.7,.8,1014,1035,78.2,0,0
95,2022-01-01 01:43,-15.1,0,37.6,.8,1014,1035,78.5,0,0
95,2022-01-01 01:44,-15.1,0,62.3,.9,1014,1035,78.6,0,0
95,2022-01-01 01:45,-15.1,0,78.4,.8,1014,1035,78.8,0,0
95,2022-01-01 01:46,-15,0,86.2,.9,1014,1035,79,0,0
95,2022-01-01 01:47,-14.8,0,105,.8,1014,1035,79.3,0,0
95,2022-01-01 01:48,-14.6,0,135.1,.4,1014.1,1035.1,78.7,0,0
95,2022-01-01 01:49,-14.5,0,147,.4,1014.1,1035.1,78.3,0,0
95,2022-01-01 01:50,-14.4,0,109.9,.1,1014.1,1035.1,77.5,0,0
95,2022-01-01 01:51,-14.4,0,68.2,.5,1014.1,1035.1,76.5,0,0
95,2022-01-01 01:52,-14.4,0,23.8,.8,1014.1,1035.1,75.7,0,0
95,2022-01-01 01:53,-14.5,0,22.7,1.2,1014.1,1035.1,74.6,0,0
95,2022-01-01 01:54,-14.6,0,30.7,.7,1014.1,1035.1,74.3,0,0
95,2022-01-01 01:55,-14.7,0,58.1,.7,1014.1,1035.1,74.5,0,0
95,2022-01-01 01:56,-14.7,0,59.5,.9,1014.1,1035.1,74.8,0,0
95,2022-01-01 01:57,-14.7,0,51.7,.8,1014.1,1035.1,74.8,0,0
95,2022-01-01 01:58,-14.7,0,54,.6,1014.2,1035.2,74.9,0,0
95,2022-01-01 01:59,-14.9,0,54.1,.6,1014.2,1035.2,75.4,0,0
95,2022-01-01 02:00,-14.9,0,42.2,.8,1014.2,1035.2,76.2,0,0
95,2022-01-01 02:01,-14.9,0,51.9,.9,1014.1,1035.1,76.8,0,0
95,2022-01-01 02:02,-14.9,0,67.2,.9,1014.1,1035.1,76.9,0,0
95,2022-01-01 02:03,-14.7,0,84.2,.4,1014.1,1035.1,76.6,0,0
95,2022-01-01 02:04,-14.6,0,88.9,.1,1014.1,1035.1,76,0,0
95,2022-01-01 02:05,-14.6,0,90.6,.2,1014.1,1035.1,75.4,0,0
95,2022-01-01 02:06,-14.6,0,43.6,.1,1014.1,1035.1,75.1,0,0
95,2022-01-01 02:07,-14.7,0,33.1,.2,1014.1,1035.1,74.9,0,0
95,2022-01-01 02:08,-14.7,0,42,.3,1014.1,1035.1,75.3,0,0
95,2022-01-01 02:09,-14.8,0,48.8,.5,1014.1,1035.1,75.7,0,0
95,2022-01-01 02:10,-14.8,0,57.2,.7,1014.1,1035.1,75.6,0,0
95,2022-01-01 02:11,-14.8,0,57.2,.5,1014.1,1035.1,75.6,0,0
95,2022-01-01 02:12,-14.9,0,66.7,.4,1014.1,1035.1,75.8,0,0
95,2022-01-01 02:13,-14.9,0,53.7,.2,1014.2,1035.2,76.3,0,0
95,2022-01-01 02:14,-15,0,39.8,.2,1014.2,1035.2,76.6,0,0
95,2022-01-01 02:15,-15.1,0,9.8,.2,1014.2,1035.2,76.9,0,0
95,2022-01-01 02:16,-15.2,0,26,.5,1014.2,1035.2,77.2,0,0
95,2022-01-01 02:17,-15.2,0,36.6,.7,1014.2,1035.2,77.8,0,0
95,2022-01-01 02:18,-15.3,0,25.1,.8,1014.2,1035.2,77.9,0,0
95,2022-01-01 02:19,-15.3,0,11.1,1,1014.2,1035.2,77.7,0,0
95,2022-01-01 02:20,-15.3,0,351.4,1.1,1014.3,1035.3,77.5,0,0
95,2022-01-01 02:21,-15.4,0,343.1,1.2,1014.3,1035.3,77.9,0,0
95,2022-01-01 02:22,-15.4,0,352.5,1,1014.3,1035.3,78.5,0,0
95,2022-01-01 02:23,-15.4,0,.7,.7,1014.3,1035.3,78.5,0,0
95,2022-01-01 02:24,-15.5,0,359.4,.6,1014.3,1035.3,78.6,0,0
95,2022-01-01 02:25,-15.5,0,334.2,.7,1014.3,1035.3,78.9,0,0
95,2022-01-01 02:26,-15.4,0,322.3,.6,1014.3,1035.3,79.4,0,0
95,2022-01-01 02:27,-15.4,0,341.1,.6,1014.4,1035.4,79.8,0,0
95,2022-01-01 02:28,-15.4,0,16.4,.5,1014.4,1035.4,80.1,0,0
95,2022-01-01 02:29,-15.4,0,35.8,.5,1014.4,1035.4,80.1,0,0
95,2022-01-01 02:30,-15.4,0,352,.5,1014.4,1035.4,80.5,0,0
95,2022-01-01 02:31,-15.2,0,318.4,.5,1014.4,1035.4,81.3,0,0
95,2022-01-01 02:32,-15.2,0,348,.9,1014.5,1035.5,81.6,0,0
95,2022-01-01 02:33,-15.2,0,15.8,.8,1014.5,1035.5,80.9,0,0
95,2022-01-01 02:34,-15.3,0,27,.9,1014.5,1035.6,80.7,0,0
95,2022-01-01 02:35,-15.3,0,36.5,1,1014.4,1035.4,81,0,0
95,2022-01-01 02:36,-15.2,0,22.4,.7,1014.4,1035.4,81.2,0,0
95,2022-01-01 02:37,-15.2,0,16.6,.5,1014.5,1035.5,81.2,0,0
95,2022-01-01 02:38,-15.1,0,353.3,0,1014.5,1035.5,81,0,0
95,2022-01-01 02:39,-15.1,0,15.3,.3,1014.5,1035.5,81,0,0
95,2022-01-01 02:40,-15.2,0,20.5,.6,1014.5,1035.5,80.8,0,0
95,2022-01-01 02:41,-15.2,0,25.8,.5,1014.5,1035.5,80.7,0,0
95,2022-01-01 02:42,-15.1,0,50.2,.5,1014.5,1035.5,80.7,0,0
95,2022-01-01 02:43,-15.1,0,11,.2,1014.4,1035.4,80.7,0,0
95,2022-01-01 02:44,-15.1,0,61,0,1014.4,1035.4,80,0,0
95,2022-01-01 02:45,-15.1,0,65.4,.5,1014.4,1035.4,79.7,0,0
95,2022-01-01 02:46,-15.1,0,63.3,.4,1014.4,1035.4,79.4,0,0
95,2022-01-01 02:47,-15.1,0,63.4,.2,1014.4,1035.4,79.2,0,0
95,2022-01-01 02:48,-15.1,0,0,0,1014.4,1035.4,79.3,0,0
95,2022-01-01 02:49,-15.1,0,0,0,1014.4,1035.4,79.5,0,0
95,2022-01-01 02:50,-15.1,0,0,0,1014.4,1035.4,79.6,0,0
95,2022-01-01 02:51,-15.2,0,0,0,1014.5,1035.5,79.4,0,0
95,2022-01-01 02:52,-15.2,0,0,0,1014.5,1035.5,79.4,0,0
95,2022-01-01 02:53,-15.3,0,328.5,0,1014.5,1035.6,79.4,0,0
95,2022-01-01 02:54,-15.3,0,304.7,.6,1014.5,1035.6,79.6,0,0
95,2022-01-01 02:55,-15.4,0,311.1,.6,1014.5,1035.5,80,0,0
95,2022-01-01 02:56,-15.5,0,323.6,.3,1014.5,1035.5,79.8,0,0
95,2022-01-01 02:57,-15.5,0,2.3,.1,1014.5,1035.5,80,0,0
95,2022-01-01 02:58,-15.5,0,0,0,1014.5,1035.5,80.7,0,0
95,2022-01-01 02:59,-15.4,0,0,0,1014.5,1035.5,81.1,0,0
95,2022-01-01 03:00,-15.3,0,6.4,.1,1014.5,1035.6,81.3,0,0
95,2022-01-01 03:01,-15.3,0,37.7,0,1014.5,1035.6,81.1,0,0
95,2022-01-01 03:02,-15.3,0,69.7,.2,1014.4,1035.4,80.9,0,0
95,2022-01-01 03:03,-15.2,0,65.6,.3,1014.4,1035.4,80.7,0,0
95,2022-01-01 03:04,-15.2,0,79.4,.1,1014.4,1035.4,80.5,0,0
95,2022-01-01 03:05,-15.2,0,0,0,1014.4,1035.4,80.4,0,0
95,2022-01-01 03:06,-15.1,0,146.7,.1,1014.4,1035.4,80.1,0,0
